포함,성분,카테고리,반응당 사용량 (µL),시약 총량 (mL),시약 총 비용 (₩),반응당 비용 (₩),공급사,CAS No.,가격 출처 URL,가격 조회일,출처,비고
True,3M Magnesium acetate,버퍼/염류,0.06,1.0,0,0.0,Sigma (#M5661),16674-78-5,,,CFPS 반응 (Excel),
True,6M Ammonium acetate,버퍼/염류,0.2,1.0,0,0.0,Sigma (#238074),631-61-8,,,CFPS 반응 (Excel),
True,4.5 M L-Glutamic acid potassium salt monohydrate,버퍼/염류,0.3,1.0,0,0.0,Sigma (#G1501),6382-01-0,,,CFPS 반응 (Excel),
True,2.4 M HEPES-KOH (pH7.5),버퍼/염류,0.36,1.0,0,0.0,Sigma (#H3375),7365-45-9,,,CFPS 반응 (Excel),
True,880 mM DTT,보조인자,0.03,1.0,0,0.0,Sigma (#D0632),3483-12-03 00:00:00,,,CFPS 반응 (Excel),
True,Nucleotides stock solution (adjustment pH 7.0),NTPs,0.3,1.0,0,0.0,Beams biotechnology (5401-03),987-65-5,,,CFPS 반응 (Excel),
True,20 mg/mL Folinic acid calcuim salt hydrate,보조인자,0.05,1.0,0,0.0,Sigma (#F7878),1492-18-8,,,CFPS 반응 (Excel),
True,3 M Cystein (Amino acid),아미노산,0.03,1.0,0,0.0,Sigma(#C1276),52-89-1,,,CFPS 반응 (Excel),
True,2M Creatine phosphate (filtered),에너지,0.45,1.0,0,0.0,Roche(10621722001),71519-72-7,,,CFPS 반응 (Excel),
True,100 mM Amino acids,아미노산,0.72,1.0,0,0.0,Sigma(#A7627),56-41-7,,,CFPS 반응 (Excel),
True,PEG-8000 (40% stock),첨가물,0.75,1.0,0,0.0,Sigma (#1546605),,,,CFPS 반응 (Excel),
True,Creatine Kinase (0.2% stock),보조인자,0.1,1.0,0,0.0,Roche(10127566001),,,,CFPS 반응 (Excel),
True,Cell extract (S12),추출물,4.0,1.0,0,0.0,Lab-made,,,,CFPS 반응 (Excel),
True,"Tryptone (배지, 배치당 32g)",기타,0.0,1000.0,0,0.0,BD Difco,,,,추출물 제조 (DOCX),2L 배양 기준 32g 필요 / 3000rxn 배치
True,"Yeast extract (배지, 배치당 20g)",기타,0.0,1000.0,0,0.0,BD Difco,,,,추출물 제조 (DOCX),2L 배양 기준 20g 필요 / 3000rxn 배치
True,"NaCl (배지, 배치당 10g)",버퍼/염류,0.0,1000.0,0,0.0,Sigma,,,,추출물 제조 (DOCX),2L 배양 기준 10g 필요 / 3000rxn 배치
True,"Glucose (10X) (배지, 배치당 36.04g)",에너지,0.0,1000.0,0,0.0,Sigma,,,,추출물 제조 (DOCX),2L 배양 기준 36.04g 필요 / 3000rxn 배치
True,DTT (100 mM) (추출물 제조용),보조인자,3.3417,1000.0,0,0.0,Sigma,,,,추출물 제조 (DOCX),2L 배양 세척(10mL/L×3회)+용해(1mL/L) / 3000rxn
True,Potassium acetate (6 M) (추출물 제조용),버퍼/염류,3.3417,1000.0,0,0.0,Sigma(P1190),,,,추출물 제조 (DOCX),2L 배양 세척(10mL/L×3회)+용해(1mL/L) / 3000rxn
True,Magnesium acetate (1.4 M) (추출물 제조용),버퍼/염류,3.3417,1000.0,0,0.0,Sigma(M5661),,,,추출물 제조 (DOCX),2L 배양 세척(10mL/L×3회)+용해(1mL/L) / 3000rxn
True,"Tris-acetate (1 M, pH 8.2) (추출물 제조용)",버퍼/염류,3.3417,1000.0,0,0.0,Sigma,,,,추출물 제조 (DOCX),2L 배양 세척(10mL/L×3회)+용해(1mL/L) / 3000rxn
True,2-Mercaptoethanol (2-ME) (추출물 제조용),보조인자,0.8333,1000.0,0,0.0,Sigma,,,,추출물 제조 (DOCX),2L 배양 세척(2.5mL/L×3회)+용해(0mL/L) / 3000rxn
